"","class","gender","age","school","father_edu_background","mother_edu_background","father_job","mother_job","household_income","school_has_library","library_visit","access_to_computer_lab","extra_mural_class","extra_curricular_activities","extra_curricular_participation","hours_on_curricular_activities","english_score","maths_score","hours_spent_studying","difficulty_understand_maths_eng_sci","subject_found_most_difficult","confidence_in_passing_exam","prepare_exam_with_online_resources","challenge_preparing_for_exam","result"
"514","SS3","Male","12-14","Public","Primary","Secondary","Civil servant","Housewife","₦30,000 – ₦100,000","Yes","Monthly","Yes","No","Yes","None","7 hours or more","45 - 49","45 - 49","3–4 hours","Yes","Physics/Chemistry/Biology","Not confident","No","Lack of focus","No"
"515","SS3","Male","18 and above","Private","Primary","University","Civil servant","Trader","₦30,000 – ₦100,000","Yes","Never","Yes","No","Yes","None","None","60 - 64","55 - 59","5 hours or more","No","Other","Very confident","Yes","time management","Yes"
"516","SS1","Female","12-14","Private","Primary","No formal education","Tailoring","Housewife","Above ₦300,000","No","Rarely","No","Yes","Yes","Sports","1–3 hours","55 - 59","50 - 54","Less than 1 hour","No","Other","Very confident","No","Lack of proper preparation","Yes"
"517","SS1","Male","18 and above","Public","Primary","Secondary","Engineer","House Wife","Below ₦30,000","No","Monthly","Yes","No","No","Sports","1–3 hours","45 - 49","60 - 64","1–2 hours","Yes","Other","Very confident","Yes","Lack of focus","Yes"
"518","SS2","Female","15-17","Private","No formal education","Secondary","Civil Servant","Housewife","₦30,000 – ₦100,000","Yes","Never","No","No","Yes","Debate/Quiz clubs","None","40 - 44","65 - 69","1–2 hours","Yes","Physics/Chemistry/Biology","Not confident","Yes","time management","Yes"
"519","SS1","Male","18 and above","Private","Secondary","No formal education","Engineer","House Wife","Below ₦30,000","No","Never","Yes","Yes","No","Science/Math clubs","4–6 hours","50 - 54","70 - 75","Less than 1 hour","No","English Language","Very confident","No","Lack of proper preparation","Yes"
"520","SS2","Male","18 and above","Private","University","Primary","Engineer","Trader","₦100,000 – ₦300,000","Yes","Daily","No","Yes","No","Sports","1–3 hours","65 - 69","45 - 49","3–4 hours","No","English Language","Very confident","No","Lack of funds","Yes"
"521","SS2","Female","18 and above","Public","University","University","Civil servant","Teacher","Below ₦30,000","Yes","Daily","No","No","No","Sports","None","70 - 75","70 - 75","1–2 hours","No","Mathematics","Somewhat confident","Yes","Lack of funds","Yes"
"522","SS2","Female","15-17","Public","University","University","Tailoring","Trader","Above ₦300,000","No","Monthly","No","No","Yes","Debate/Quiz clubs","None","39 below","60 - 64","3–4 hours","Yes","Mathematics","Somewhat confident","Yes","lack of standard social amenity","Yes"
"523","SS3","Male","15-17","Private","Secondary","Secondary","Civil servant","House Wife","₦30,000 – ₦100,000","Yes","Monthly","No","No","Yes","Debate/Quiz clubs","7 hours or more","40 - 44","55 - 59","5 hours or more","No","English Language","Somewhat confident","No","time management","Yes"
"524","SS3","Male","12-14","Private","No formal education","No formal education","Tailoring","House Wife","Below ₦30,000","No","Rarely","Yes","Yes","Yes","None","1–3 hours","39 below","55 - 59","1–2 hours","Yes","English Language","Somewhat confident","No","lack of standard social amenity","Yes"
"525","SS2","Female","12-14","Private","Secondary","No formal education","Civil servant","Trader","Above ₦300,000","Yes","Weekly","No","Yes","No","Debate/Quiz clubs","None","40 - 44","40 - 44","1–2 hours","Yes","Other","Somewhat confident","No","lack of standard social amenity","No"
"526","SS2","Male","12-14","Public","Primary","No formal education","Tailoring","House Wife","Below ₦30,000","Yes","Weekly","No","No","Yes","Science/Math clubs","7 hours or more","50 - 54","45 - 49","1–2 hours","No","Other","Very confident","Yes","Lack of focus","Yes"
"527","SS3","Female","18 and above","Public","Secondary","Secondary","Engineer","Housewife","Above ₦300,000","Yes","Monthly","No","No","Yes","Science/Math clubs","7 hours or more","80 - 100","39 below","1–2 hours","No","Physics/Chemistry/Biology","Somewhat confident","Yes","time management","Yes"
"528","SS2","Male","15-17","Private","Primary","Secondary","Civil servant","Housewife","₦100,000 – ₦300,000","Yes","Daily","No","No","No","Science/Math clubs","4–6 hours","50 - 54","39 below","5 hours or more","Yes","Other","Very confident","Yes","Lack of focus","Yes"
"529","SS1","Female","12-14","Private","No formal education","Secondary","Civil Servant","Housewife","Below ₦30,000","No","Daily","Yes","Yes","No","Science/Math clubs","4–6 hours","80 - 100","45 - 49","5 hours or more","Yes","Other","Very confident","Yes","Lack of proper preparation","Yes"
"530","SS3","Female","18 and above","Public","Primary","University","Farmer","Teacher","50,000 - 100,000","Yes","Weekly","Yes","Yes","No","Debate/Quiz clubs","4–6 hours","55 - 59","60 - 64","1–2 hours","Yes","Mathematics","Not confident","No","Lack of funds","Yes"
"531","SS2","Male","12-14","Public","University","Primary","Civil Servant","Teacher","50,000 - 100,000","Yes","Daily","No","Yes","No","Science/Math clubs","None","50 - 54","60 - 64","3–4 hours","Yes","English Language","Very confident","Yes","The fear of the unknown","Yes"
"532","SS2","Male","18 and above","Public","Secondary","No formal education","Tailoring","Teacher","Below ₦30,000","No","Weekly","Yes","Yes","No","None","None","80 - 100","65 - 69","5 hours or more","No","Physics/Chemistry/Biology","Very confident","No","Lack of funds","Yes"
"533","SS3","Female","15-17","Private","Secondary","Primary","Farmer","Trader","₦30,000 – ₦100,000","No","Never","Yes","No","Yes","Debate/Quiz clubs","4–6 hours","70 - 75","45 - 49","1–2 hours","Yes","English Language","Very confident","No","Lack of focus","Yes"
"534","SS2","Female","12-14","Private","Secondary","University","Engineer","Teacher","₦30,000 – ₦100,000","No","Monthly","No","Yes","Yes","Debate/Quiz clubs","None","80 - 100","60 - 64","Less than 1 hour","Yes","Mathematics","Not confident","No","Lack of proper preparation","Yes"
"535","SS1","Male","12-14","Private","Secondary","Primary","Tailoring","Housewife","₦30,000 – ₦100,000","Yes","Weekly","Yes","Yes","No","Sports","1–3 hours","40 - 44","60 - 64","5 hours or more","Yes","Mathematics","Not confident","Yes","The fear of the unknown","Yes"
"536","SS3","Female","12-14","Public","No formal education","No formal education","Farmer","Trader","₦100,000 – ₦300,000","No","Never","Yes","No","No","Sports","None","80 - 100","39 below","Less than 1 hour","Yes","Mathematics","Somewhat confident","Yes","Lack of focus","Yes"
"537","SS3","Male","18 and above","Private","Primary","No formal education","Tailoring","Trader","₦30,000 – ₦100,000","No","Rarely","No","Yes","Yes","Debate/Quiz clubs","1–3 hours","60 - 64","50 - 54","5 hours or more","Yes","Physics/Chemistry/Biology","Very confident","Yes","time management","Yes"
"538","SS3","Female","18 and above","Private","University","University","Farmer","Housewife","50,000 - 100,000","Yes","Weekly","Yes","No","No","Debate/Quiz clubs","4–6 hours","45 - 49","60 - 64","1–2 hours","Yes","Other","Not confident","Yes","lack of standard social amenity","Yes"
"539","SS2","Male","18 and above","Private","Primary","Secondary","Tailoring","Housewife","Above ₦300,000","No","Monthly","Yes","No","No","Debate/Quiz clubs","None","70 - 75","50 - 54","3–4 hours","No","English Language","Very confident","No","Lack of focus","Yes"
"540","SS1","Female","15-17","Private","University","No formal education","Engineer","Teacher","₦100,000 – ₦300,000","No","Daily","Yes","Yes","Yes","Science/Math clubs","7 hours or more","39 below","55 - 59","5 hours or more","Yes","Other","Very confident","Yes","The fear of the unknown","Yes"
"541","SS1","Male","12-14","Private","Secondary","University","Civil Servant","Teacher","₦30,000 – ₦100,000","No","Never","Yes","Yes","Yes","None","None","55 - 59","45 - 49","Less than 1 hour","Yes","Mathematics","Not confident","Yes","Lack of proper preparation","Yes"
"542","SS3","Male","12-14","Private","University","University","Tailoring","Housewife","50,000 - 100,000","No","Weekly","No","No","Yes","Science/Math clubs","None","80 - 100","65 - 69","Less than 1 hour","Yes","English Language","Not confident","Yes","Lack of focus","Yes"
"543","SS1","Male","18 and above","Public","University","University","Farmer","Teacher","Below ₦30,000","No","Daily","Yes","Yes","Yes","Sports","4–6 hours","55 - 59","40 - 44","Less than 1 hour","Yes","Mathematics","Very confident","Yes","lack of standard social amenity","Yes"
"544","SS1","Female","18 and above","Public","Secondary","Secondary","Engineer","Trader","Below ₦30,000","No","Daily","Yes","Yes","No","None","7 hours or more","65 - 69","80 - 100","3–4 hours","No","English Language","Very confident","Yes","Lack of focus","Yes"
"545","SS1","Male","12-14","Public","Secondary","Primary","Civil servant","Teacher","₦30,000 – ₦100,000","Yes","Monthly","No","No","Yes","Debate/Quiz clubs","4–6 hours","40 - 44","39 below","Less than 1 hour","Yes","Mathematics","Not confident","No","The fear of the unknown","No"
"546","SS3","Female","15-17","Private","No formal education","No formal education","Farmer","Housewife","₦30,000 – ₦100,000","No","Monthly","No","No","No","Science/Math clubs","4–6 hours","65 - 69","80 - 100","Less than 1 hour","No","Physics/Chemistry/Biology","Somewhat confident","Yes","time management","Yes"
"547","SS1","Male","15-17","Public","University","Secondary","Civil servant","Teacher","50,000 - 100,000","Yes","Monthly","Yes","No","Yes","None","None","50 - 54","50 - 54","Less than 1 hour","Yes","English Language","Somewhat confident","No","Lack of proper preparation","Yes"
"548","SS3","Female","15-17","Public","University","University","Civil servant","Teacher","₦30,000 – ₦100,000","Yes","Daily","Yes","Yes","No","None","1–3 hours","80 - 100","40 - 44","5 hours or more","No","Physics/Chemistry/Biology","Not confident","Yes","Lack of proper preparation","Yes"
"549","SS1","Male","18 and above","Public","Secondary","Secondary","Engineer","Teacher","Below ₦30,000","Yes","Monthly","No","Yes","Yes","Sports","None","55 - 59","80 - 100","3–4 hours","No","Other","Somewhat confident","No","Lack of proper preparation","Yes"
"550","SS1","Female","15-17","Private","No formal education","Secondary","Civil Servant","Trader","50,000 - 100,000","No","Daily","No","Yes","No","Debate/Quiz clubs","None","39 below","80 - 100","1–2 hours","Yes","Mathematics","Very confident","Yes","time management","Yes"
"551","SS3","Male","18 and above","Private","Secondary","No formal education","Farmer","House Wife","₦30,000 – ₦100,000","Yes","Monthly","Yes","No","Yes","Debate/Quiz clubs","1–3 hours","50 - 54","45 - 49","5 hours or more","No","Other","Not confident","No","Lack of focus","Yes"
"552","SS1","Female","15-17","Private","Primary","No formal education","Tailoring","Teacher","₦100,000 – ₦300,000","No","Rarely","Yes","Yes","Yes","Sports","7 hours or more","45 - 49","70 - 75","1–2 hours","No","Mathematics","Not confident","Yes","The fear of the unknown","Yes"
"553","SS2","Male","18 and above","Public","No formal education","No formal education","Civil Servant","Trader","₦100,000 – ₦300,000","Yes","Daily","No","Yes","No","None","1–3 hours","70 - 75","65 - 69","3–4 hours","No","Mathematics","Somewhat confident","Yes","time management","Yes"
"554","SS3","Female","12-14","Public","University","Secondary","Civil Servant","House Wife","50,000 - 100,000","Yes","Never","Yes","Yes","Yes","Sports","7 hours or more","70 - 75","65 - 69","3–4 hours","No","English Language","Not confident","Yes","Lack of focus","Yes"
"555","SS3","Female","15-17","Public","University","University","Tailoring","Trader","₦100,000 – ₦300,000","No","Monthly","Yes","Yes","Yes","None","7 hours or more","40 - 44","45 - 49","3–4 hours","No","Mathematics","Not confident","Yes","Lack of proper preparation","No"
"556","SS3","Female","18 and above","Private","Secondary","University","Civil Servant","Teacher","₦30,000 – ₦100,000","Yes","Rarely","Yes","Yes","Yes","Sports","7 hours or more","40 - 44","70 - 75","5 hours or more","Yes","Other","Somewhat confident","Yes","Lack of funds","Yes"
"557","SS1","Female","18 and above","Public","Secondary","Secondary","Tailoring","Housewife","Below ₦30,000","Yes","Weekly","Yes","Yes","No","Science/Math clubs","4–6 hours","70 - 75","50 - 54","1–2 hours","Yes","Physics/Chemistry/Biology","Somewhat confident","Yes","Lack of funds","Yes"
"558","SS1","Male","18 and above","Public","Primary","No formal education","Civil servant","Trader","Above ₦300,000","Yes","Never","Yes","Yes","Yes","None","7 hours or more","60 - 64","50 - 54","Less than 1 hour","Yes","Physics/Chemistry/Biology","Not confident","Yes","Lack of proper preparation","Yes"
"559","SS2","Female","18 and above","Private","Secondary","Secondary","Farmer","Trader","Above ₦300,000","Yes","Weekly","Yes","Yes","No","None","1–3 hours","80 - 100","55 - 59","Less than 1 hour","No","Mathematics","Not confident","No","Lack of focus","Yes"
"560","SS2","Female","12-14","Public","Secondary","University","Engineer","Trader","₦30,000 – ₦100,000","No","Daily","Yes","No","No","Debate/Quiz clubs","None","70 - 75","39 below","3–4 hours","No","English Language","Somewhat confident","Yes","time management","Yes"
"561","SS3","Female","18 and above","Private","Secondary","Secondary","Farmer","Housewife","Below ₦30,000","No","Monthly","No","Yes","No","None","7 hours or more","70 - 75","55 - 59","3–4 hours","Yes","Mathematics","Somewhat confident","Yes","time management","Yes"
"562","SS2","Female","15-17","Private","Primary","Secondary","Civil Servant","Housewife","₦100,000 – ₦300,000","No","Never","Yes","Yes","Yes","Sports","4–6 hours","55 - 59","60 - 64","3–4 hours","Yes","Other","Very confident","No","Lack of focus","Yes"
"563","SS2","Female","15-17","Private","University","Primary","Tailoring","Housewife","₦30,000 – ₦100,000","No","Rarely","Yes","Yes","Yes","Debate/Quiz clubs","4–6 hours","80 - 100","80 - 100","1–2 hours","Yes","Other","Somewhat confident","No","Lack of funds","Yes"
"564","SS3","Female","15-17","Private","University","No formal education","Farmer","Trader","₦30,000 – ₦100,000","No","Rarely","Yes","No","Yes","Sports","1–3 hours","39 below","80 - 100","5 hours or more","Yes","Other","Somewhat confident","No","lack of standard social amenity","Yes"
"565","SS1","Female","18 and above","Private","Primary","Primary","Civil Servant","Teacher","₦30,000 – ₦100,000","No","Daily","No","No","No","Science/Math clubs","1–3 hours","39 below","39 below","1–2 hours","Yes","Physics/Chemistry/Biology","Not confident","Yes","Lack of proper preparation","No"
"566","SS3","Male","18 and above","Public","Primary","No formal education","Tailoring","Trader","₦100,000 – ₦300,000","Yes","Never","Yes","No","Yes","Debate/Quiz clubs","1–3 hours","45 - 49","80 - 100","3–4 hours","No","Physics/Chemistry/Biology","Very confident","No","The fear of the unknown","Yes"
"567","SS1","Female","15-17","Public","University","University","Tailoring","Teacher","Below ₦30,000","No","Never","Yes","No","No","Science/Math clubs","None","45 - 49","50 - 54","1–2 hours","Yes","Physics/Chemistry/Biology","Not confident","Yes","The fear of the unknown","Yes"
"568","SS1","Female","15-17","Private","Secondary","No formal education","Civil Servant","Trader","Above ₦300,000","Yes","Monthly","Yes","No","No","Sports","None","39 below","80 - 100","Less than 1 hour","No","Other","Somewhat confident","No","The fear of the unknown","Yes"
"569","SS1","Male","12-14","Public","Secondary","No formal education","Civil servant","Trader","₦30,000 – ₦100,000","No","Never","No","No","Yes","Science/Math clubs","1–3 hours","55 - 59","65 - 69","1–2 hours","Yes","English Language","Somewhat confident","Yes","The fear of the unknown","Yes"
"570","SS2","Female","12-14","Private","No formal education","Primary","Tailoring","Trader","50,000 - 100,000","No","Weekly","Yes","Yes","No","None","1–3 hours","40 - 44","50 - 54","3–4 hours","Yes","English Language","Not confident","No","Lack of proper preparation","Yes"
"571","SS1","Female","12-14","Private","Secondary","No formal education","Farmer","Teacher","Below ₦30,000","No","Daily","No","Yes","Yes","Science/Math clubs","None","45 - 49","39 below","1–2 hours","No","Physics/Chemistry/Biology","Not confident","No","Lack of focus","No"
"572","SS3","Male","12-14","Public","Secondary","No formal education","Engineer","Trader","Above ₦300,000","Yes","Rarely","No","No","Yes","None","4–6 hours","70 - 75","39 below","1–2 hours","No","Mathematics","Somewhat confident","Yes","The fear of the unknown","Yes"
"573","SS2","Male","15-17","Public","University","Primary","Civil Servant","Teacher","₦30,000 – ₦100,000","No","Weekly","Yes","No","No","Science/Math clubs","None","80 - 100","65 - 69","5 hours or more","Yes","Mathematics","Somewhat confident","Yes","Lack of funds","Yes"
"574","SS1","Female","18 and above","Public","No formal education","Secondary","Engineer","Housewife","₦100,000 – ₦300,000","Yes","Monthly","No","Yes","No","Sports","None","45 - 49","55 - 59","3–4 hours","Yes","Other","Not confident","Yes","time management","Yes"
"575","SS3","Male","18 and above","Public","Secondary","University","Farmer","Trader","₦100,000 – ₦300,000","No","Weekly","Yes","Yes","No","None","7 hours or more","39 below","70 - 75","5 hours or more","No","Physics/Chemistry/Biology","Not confident","Yes","time management","Yes"
"576","SS1","Male","15-17","Public","Secondary","No formal education","Farmer","Teacher","₦30,000 – ₦100,000","Yes","Weekly","No","Yes","No","Science/Math clubs","None","65 - 69","60 - 64","1–2 hours","Yes","English Language","Somewhat confident","No","lack of standard social amenity","Yes"
"577","SS2","Male","12-14","Public","University","Secondary","Civil Servant","Trader","50,000 - 100,000","Yes","Monthly","No","Yes","Yes","None","4–6 hours","45 - 49","80 - 100","Less than 1 hour","No","Mathematics","Somewhat confident","No","Lack of focus","Yes"
"578","SS1","Male","12-14","Private","University","Primary","Civil servant","Teacher","Below ₦30,000","No","Rarely","Yes","No","No","None","7 hours or more","55 - 59","70 - 75","3–4 hours","No","Other","Very confident","Yes","Lack of proper preparation","Yes"
"579","SS1","Male","12-14","Private","Secondary","University","Civil servant","Housewife","₦100,000 – ₦300,000","Yes","Daily","Yes","Yes","No","None","7 hours or more","50 - 54","39 below","Less than 1 hour","No","Physics/Chemistry/Biology","Not confident","No","Lack of proper preparation","Yes"
"580","SS2","Male","12-14","Public","Primary","No formal education","Civil servant","House Wife","₦100,000 – ₦300,000","Yes","Monthly","No","No","No","Science/Math clubs","1–3 hours","39 below","55 - 59","3–4 hours","No","Physics/Chemistry/Biology","Not confident","Yes","The fear of the unknown","Yes"
"581","SS3","Male","18 and above","Public","No formal education","No formal education","Tailoring","House Wife","₦100,000 – ₦300,000","No","Weekly","Yes","No","Yes","Sports","4–6 hours","45 - 49","45 - 49","Less than 1 hour","No","Mathematics","Somewhat confident","No","Lack of focus","No"
"582","SS2","Female","18 and above","Private","University","University","Farmer","Trader","Above ₦300,000","No","Weekly","No","Yes","No","Sports","None","45 - 49","50 - 54","3–4 hours","Yes","English Language","Somewhat confident","No","The fear of the unknown","Yes"
"583","SS1","Male","15-17","Private","No formal education","University","Tailoring","Teacher","₦100,000 – ₦300,000","Yes","Daily","Yes","No","No","Debate/Quiz clubs","None","45 - 49","40 - 44","3–4 hours","Yes","Physics/Chemistry/Biology","Somewhat confident","Yes","lack of standard social amenity","No"
"584","SS3","Male","18 and above","Private","Secondary","No formal education","Engineer","Trader","₦30,000 – ₦100,000","No","Daily","No","No","Yes","None","1–3 hours","50 - 54","39 below","3–4 hours","No","English Language","Very confident","No","Lack of proper preparation","Yes"
"585","SS3","Female","18 and above","Public","No formal education","No formal education","Tailoring","Housewife","₦30,000 – ₦100,000","Yes","Never","No","No","No","Science/Math clubs","4–6 hours","60 - 64","45 - 49","Less than 1 hour","Yes","Physics/Chemistry/Biology","Very confident","Yes","The fear of the unknown","Yes"
"586","SS2","Female","18 and above","Private","No formal education","University","Civil Servant","Trader","₦100,000 – ₦300,000","No","Rarely","No","No","No","Debate/Quiz clubs","None","80 - 100","45 - 49","3–4 hours","No","Other","Somewhat confident","Yes","lack of standard social amenity","Yes"
"587","SS2","Female","18 and above","Private","Primary","No formal education","Civil servant","Trader","₦100,000 – ₦300,000","Yes","Never","Yes","No","No","Science/Math clubs","4–6 hours","40 - 44","50 - 54","Less than 1 hour","No","Physics/Chemistry/Biology","Somewhat confident","Yes","lack of standard social amenity","Yes"
"588","SS1","Male","18 and above","Public","No formal education","No formal education","Civil servant","Trader","50,000 - 100,000","Yes","Never","No","No","No","Debate/Quiz clubs","4–6 hours","60 - 64","45 - 49","Less than 1 hour","Yes","Mathematics","Not confident","Yes","lack of standard social amenity","Yes"
"589","SS2","Male","12-14","Public","Secondary","Secondary","Farmer","Trader","₦100,000 – ₦300,000","No","Monthly","No","Yes","Yes","None","4–6 hours","39 below","55 - 59","5 hours or more","Yes","English Language","Very confident","No","Lack of focus","Yes"
"590","SS3","Male","18 and above","Public","University","Primary","Farmer","House Wife","50,000 - 100,000","Yes","Weekly","No","No","No","Debate/Quiz clubs","4–6 hours","55 - 59","70 - 75","1–2 hours","No","Physics/Chemistry/Biology","Very confident","No","Lack of funds","Yes"
"591","SS2","Female","12-14","Public","Primary","University","Civil servant","Trader","50,000 - 100,000","No","Daily","Yes","No","Yes","Science/Math clubs","7 hours or more","50 - 54","39 below","5 hours or more","No","Other","Somewhat confident","Yes","Lack of focus","Yes"
"592","SS3","Male","12-14","Private","University","University","Tailoring","Housewife","50,000 - 100,000","Yes","Never","Yes","Yes","No","None","None","45 - 49","55 - 59","5 hours or more","Yes","English Language","Somewhat confident","Yes","The fear of the unknown","Yes"
"593","SS1","Male","18 and above","Public","University","University","Tailoring","Trader","Above ₦300,000","No","Monthly","Yes","Yes","No","Sports","7 hours or more","50 - 54","39 below","5 hours or more","Yes","Physics/Chemistry/Biology","Not confident","Yes","lack of standard social amenity","Yes"
"594","SS2","Female","12-14","Public","No formal education","No formal education","Engineer","House Wife","₦100,000 – ₦300,000","No","Daily","Yes","No","Yes","None","1–3 hours","40 - 44","39 below","1–2 hours","Yes","Mathematics","Somewhat confident","Yes","The fear of the unknown","No"
"595","SS2","Female","12-14","Public","University","Secondary","Tailoring","House Wife","₦100,000 – ₦300,000","Yes","Weekly","No","No","Yes","Debate/Quiz clubs","1–3 hours","45 - 49","39 below","Less than 1 hour","No","Other","Somewhat confident","No","Lack of funds","No"
"596","SS1","Female","15-17","Public","University","University","Civil servant","House Wife","₦100,000 – ₦300,000","Yes","Never","No","No","Yes","Sports","4–6 hours","70 - 75","70 - 75","3–4 hours","Yes","Other","Somewhat confident","Yes","Lack of funds","Yes"
"597","SS3","Male","15-17","Private","Secondary","Secondary","Tailoring","Trader","Below ₦30,000","Yes","Daily","Yes","Yes","Yes","None","4–6 hours","50 - 54","70 - 75","5 hours or more","No","Mathematics","Somewhat confident","No","Lack of focus","Yes"
"598","SS2","Female","18 and above","Private","Primary","University","Tailoring","Housewife","50,000 - 100,000","Yes","Weekly","Yes","No","Yes","Science/Math clubs","4–6 hours","70 - 75","55 - 59","Less than 1 hour","No","Physics/Chemistry/Biology","Very confident","No","The fear of the unknown","Yes"
"599","SS3","Female","15-17","Public","Secondary","Secondary","Civil servant","Trader","₦100,000 – ₦300,000","No","Monthly","Yes","No","Yes","Science/Math clubs","None","70 - 75","45 - 49","Less than 1 hour","Yes","English Language","Somewhat confident","No","time management","Yes"
"600","SS2","Male","15-17","Public","University","No formal education","Tailoring","House Wife","Below ₦30,000","No","Daily","No","No","No","Debate/Quiz clubs","7 hours or more","80 - 100","45 - 49","5 hours or more","No","Mathematics","Not confident","Yes","time management","Yes"
"601","SS3","Male","12-14","Private","Primary","No formal education","Farmer","House Wife","50,000 - 100,000","No","Monthly","No","Yes","Yes","Science/Math clubs","1–3 hours","50 - 54","50 - 54","3–4 hours","Yes","Other","Very confident","Yes","The fear of the unknown","Yes"
"602","SS3","Male","12-14","Public","No formal education","Primary","Civil Servant","Housewife","Above ₦300,000","No","Rarely","Yes","No","Yes","Debate/Quiz clubs","None","50 - 54","45 - 49","Less than 1 hour","No","Mathematics","Somewhat confident","No","time management","Yes"
"603","SS3","Male","18 and above","Public","Secondary","Secondary","Civil servant","Teacher","Below ₦30,000","No","Monthly","No","No","No","Debate/Quiz clubs","7 hours or more","65 - 69","70 - 75","Less than 1 hour","Yes","Physics/Chemistry/Biology","Very confident","No","time management","Yes"
"604","SS2","Male","15-17","Private","No formal education","Secondary","Engineer","Housewife","Above ₦300,000","Yes","Weekly","No","No","Yes","Sports","None","55 - 59","50 - 54","3–4 hours","Yes","Other","Very confident","Yes","time management","Yes"
"605","SS3","Male","15-17","Public","Primary","Primary","Tailoring","Trader","₦30,000 – ₦100,000","No","Weekly","Yes","Yes","Yes","Debate/Quiz clubs","4–6 hours","80 - 100","80 - 100","3–4 hours","No","English Language","Very confident","No","Lack of focus","Yes"
"606","SS2","Male","12-14","Private","No formal education","Secondary","Farmer","House Wife","₦100,000 – ₦300,000","Yes","Rarely","Yes","Yes","Yes","None","1–3 hours","40 - 44","65 - 69","5 hours or more","No","Physics/Chemistry/Biology","Very confident","No","time management","Yes"
"607","SS3","Male","15-17","Public","No formal education","Primary","Farmer","Teacher","₦100,000 – ₦300,000","No","Weekly","No","Yes","Yes","Science/Math clubs","7 hours or more","40 - 44","39 below","1–2 hours","No","Physics/Chemistry/Biology","Very confident","Yes","Lack of focus","No"
"608","SS2","Male","12-14","Private","Secondary","Secondary","Civil servant","Trader","₦100,000 – ₦300,000","No","Weekly","No","No","No","Science/Math clubs","None","80 - 100","70 - 75","Less than 1 hour","Yes","Other","Very confident","Yes","lack of standard social amenity","Yes"
"609","SS2","Male","18 and above","Public","Primary","Primary","Civil servant","Teacher","₦100,000 – ₦300,000","Yes","Monthly","Yes","No","No","Science/Math clubs","1–3 hours","70 - 75","70 - 75","1–2 hours","No","Physics/Chemistry/Biology","Somewhat confident","No","Lack of focus","Yes"
"610","SS3","Male","15-17","Private","Secondary","No formal education","Civil servant","Housewife","₦100,000 – ₦300,000","No","Weekly","No","Yes","Yes","Sports","None","70 - 75","50 - 54","1–2 hours","No","Other","Somewhat confident","No","The fear of the unknown","Yes"
"611","SS2","Female","12-14","Private","No formal education","No formal education","Engineer","Housewife","₦30,000 – ₦100,000","Yes","Rarely","Yes","No","Yes","Sports","7 hours or more","80 - 100","60 - 64","5 hours or more","Yes","English Language","Very confident","Yes","Lack of funds","Yes"
"612","SS1","Female","18 and above","Private","University","Primary","Tailoring","Trader","₦30,000 – ₦100,000","Yes","Rarely","No","Yes","No","Debate/Quiz clubs","None","65 - 69","50 - 54","3–4 hours","No","Physics/Chemistry/Biology","Somewhat confident","Yes","Lack of focus","Yes"
"613","SS1","Female","18 and above","Public","University","Secondary","Tailoring","House Wife","₦30,000 – ₦100,000","Yes","Weekly","No","Yes","Yes","Debate/Quiz clubs","1–3 hours","39 below","50 - 54","3–4 hours","No","Other","Not confident","No","The fear of the unknown","Yes"
"614","SS3","Male","15-17","Public","Secondary","Primary","Tailoring","House Wife","50,000 - 100,000","Yes","Weekly","Yes","Yes","Yes","None","None","50 - 54","50 - 54","5 hours or more","Yes","Physics/Chemistry/Biology","Somewhat confident","Yes","Lack of focus","Yes"
"615","SS1","Female","15-17","Private","Primary","University","Tailoring","Trader","Above ₦300,000","No","Never","No","No","Yes","Sports","7 hours or more","45 - 49","55 - 59","3–4 hours","No","Mathematics","Very confident","Yes","lack of standard social amenity","Yes"
"616","SS3","Female","18 and above","Private","University","University","Civil servant","Housewife","50,000 - 100,000","No","Rarely","Yes","Yes","No","Debate/Quiz clubs","None","80 - 100","50 - 54","Less than 1 hour","Yes","Mathematics","Very confident","Yes","Lack of proper preparation","Yes"
"617","SS2","Male","12-14","Public","No formal education","No formal education","Tailoring","Trader","₦30,000 – ₦100,000","Yes","Monthly","No","Yes","No","Debate/Quiz clubs","4–6 hours","39 below","70 - 75","Less than 1 hour","Yes","Physics/Chemistry/Biology","Very confident","No","time management","Yes"
"618","SS1","Female","15-17","Public","No formal education","Primary","Farmer","House Wife","Above ₦300,000","Yes","Daily","No","No","Yes","Debate/Quiz clubs","None","65 - 69","50 - 54","3–4 hours","No","English Language","Very confident","Yes","lack of standard social amenity","Yes"
"619","SS3","Male","15-17","Private","Primary","No formal education","Farmer","Teacher","Below ₦30,000","Yes","Monthly","Yes","No","Yes","Debate/Quiz clubs","None","45 - 49","55 - 59","Less than 1 hour","No","Mathematics","Very confident","No","Lack of proper preparation","Yes"
"620","SS2","Female","12-14","Public","No formal education","No formal education","Civil servant","House Wife","Below ₦30,000","Yes","Rarely","No","Yes","Yes","Debate/Quiz clubs","None","39 below","39 below","3–4 hours","No","Physics/Chemistry/Biology","Very confident","No","Lack of focus","No"
"621","SS1","Female","18 and above","Private","Primary","Primary","Tailoring","Teacher","₦100,000 – ₦300,000","Yes","Daily","No","No","Yes","Science/Math clubs","1–3 hours","80 - 100","65 - 69","1–2 hours","Yes","Physics/Chemistry/Biology","Not confident","No","Lack of funds","Yes"
